Rk,Player,2021-22,Signed Using,Guaranteed
257,Chris Duarte,3749520,1st Round Pick,7686480
258,Alex Len,3731707,Bi-Annual Exception,7650000
259,Robert Williams,3661976,1st Round Pick,51597976
260,Aaron Nesmith,3631200,1st Round Pick,7435560
261,Sekou Doumbouya,,,3613680
262,Moses Moody,3562080,1st Round Pick,7302240
263,Boban Marjanović,3500000,Early Bird,7000000
264,Mike Muscala,3500000,MLE,3500000
265,Cole Anthony,3449400,1st Round Pick,7063080
266,Corey Kispert,3383640,1st Round Pick,6936600
267,Trey Burke,3333333,MLE,3333333
268,Georges Niang,3300000,MLE,6765000
269,Chuma Okeke,3277080,1st Round Pick,6710400
270,Isaiah Stewart,3277080,1st Round Pick,6710400
271,Nickeil Alexander-Walker,3261480,1st Round Pick,8271113
272,Alperen Şengün,3214680,1st Round Pick,6590160
273,Nicolas Batum,12213507,Non Bird,3170029
274,Jon Leuer,3169347,,3169347
275,Aleksej Pokusevski,3113160,1st Round Pick,6374640
276,Goga Bitadze,3098400,1st Round Pick,7863739
277,Trey Murphy III,3053760,1st Round Pick,6260400
278,Sterling Brown,3000000,Bi-Annual Exception,6000000
279,Michael Carter-Williams,3000000,,3000000
280,Frank Jackson,3000000,Cap Space,3000000
281,Luka Šamanić,,,2959080
282,Josh Green,2957520,1st Round Pick,6055920
283,Tre Mann,2901240,1st Round Pick,5947440
284,Dewayne Dedmon,5256308,,11466668
285,Andrew Nicholson,2844429,,8533287
286,Matisse Thybulle,2840160,1st Round Pick,7219687
287,Saddiq Bey,2824320,1st Round Pick,5783400
288,Kai Jones,2770560,1st Round Pick,5679720
289,Brandon Clarke,2726880,1st Round Pick,7070800
290,Precious Achiuwa,2711280,1st Round Pick,5551440
291,Jalen Johnson,2659560,1st Round Pick,5452080
292,Paul Millsap,2641691,Minimum Salary,2641691
293,E'Twaun Moore,2641691,,2641691
294,Markieff Morris,2641691,Minimum Salary,2641691
295,Udonis Haslem,2641691,Minimum Salary,2641691
296,DeAndre Jordan,10517224,Minimum Salary,2641691
297,Dwight Howard,2641691,Minimum Salary,2641691
298,Wayne Ellington,2641691,Minimum Salary,2641691
299,Trevor Ariza,2641691,Minimum Salary,2641691
300,Carmelo Anthony,2641691,Minimum Salary,2641691
301,Enes Freedom,2641691,,2641691
302,Andre Iguodala,2641691,Minimum Salary,2641691
303,Rajon Rondo,2641691,Minimum Salary,2641691
304,James Johnson,2641691,Minimum Salary,2641691
305,Blake Griffin,32405817,Minimum Salary,2641691
306,LaMarcus Aldridge,2641691,Minimum Salary,2641691
307,Avery Bradley,2641691,,
308,Ed Davis,2641691,,
309,Grant Williams,2617800,1st Round Pick,6924081
310,Tyrese Maxey,2602920,1st Round Pick,5329800
311,Keon Johnson,2553120,1st Round Pick,5234160
312,Darius Bazley,2513040,1st Round Pick,6777669
313,Trey Lyles,2500000,Cap Space,2500000
314,Zeke Nnaji,2498760,1st Round Pick,5116560
315,Isaiah Jackson,2451120,1st Round Pick,5024880
316,Ty Jerome,2412840,1st Round Pick,6632897
317,Hassan Whiteside,2401537,Minimum Salary,2401537
318,Kent Bazemore,2401537,Minimum Salary,2401537
319,Austin Rivers,2401537,Minimum Salary,2401537
320,Andre Drummond,2401537,Minimum Salary,2401537
321,Cory Joseph,7310000,,7310000
322,Cody Zeller,2389641,,2389641
323,Ben McLemore,2389641,Minimum Salary,2389641
324,Solomon Hill,2389641,,2389641
325,Tony Snell,2389641,Minimum Salary,2389641
326,Victor Oladipo,2389641,Minimum Salary,2389641
327,Dewayne Dedmon,5256308,Minimum Salary,2389641
328,Otto Porter Jr.,2389641,Minimum Salary,2389641
329,Leandro Bolmaro,2353320,1st Round Pick,4824480
330,Usman Garuba,2353320,1st Round Pick,4824480
331,Willy Hernangómez,2327220,Non Bird,4770801
332,Nassir Little,2316240,1st Round Pick,6487788
333,R.J. Hampton,2303040,1st Round Pick,4715880
334,Josh Christopher,2259240,1st Round Pick,4631400
335,Monta Ellis,2245400,,2245400
336,Elfrid Payton,2239544,Minimum Salary,2239544
337,Rodney Hood,2239544,Minimum Salary,2239544
338,Dylan Windler,2239200,1st Round Pick,6276478
339,Immanuel Quickley,2210640,1st Round Pick,4526880
340,John Konchar,2197674,MLE,6906977
341,Quentin Grimes,2168760,1st Round Pick,4445760
342,Jordan Poole,2161440,1st Round Pick,6062839
343,Bol Bol,2161152,MLE,2161152
344,Keldon Johnson,2145720,1st Round Pick,6018745
345,Payton Pritchard,2137440,1st Round Pick,4376640
346,Kevin Porter Jr.,2130240,1st Round Pick,5975323
347,Bones Hyland,2096880,1st Round Pick,4298280
348,Raul Neto,2089448,Minimum Salary,2089448
349,Frank Kaminsky,2089448,Minimum Salary,2089448
350,Nemanja Bjelica,2089448,Minimum Salary,2089448
351,Udoka Azubuike,2075880,1st Round Pick,4250760
352,Jaden McDaniels,2063280,1st Round Pick,4224720
353,Malachi Flynn,2048040,1st Round Pick,4193760
354,Cam Thomas,2036280,1st Round Pick,4174440
355,Desmond Bane,2033160,1st Round Pick,4163400
356,Jaden Springer,2023800,1st Round Pick,4149000
357,Day'Ron Sharpe,2009040,1st Round Pick,4118400
358,Jeremiah Robinson-Earl,2000000,MLE,4000000
359,Killian Tillie,2000000,Room Exception,4000000
360,Abdel Nader,2000000,,2000000
361,Théo Maledon,2000000,MLE,2000000
362,Kenrich Williams,2000000,,
363,Santi Aldama,1994520,1st Round Pick,4088760
364,Damian Jones,1977011,,
365,Wesley Matthews,1958501,,
366,Rodney McGruder,1939350,Minimum Salary,1939350
367,DeAndre' Bembry,2541217,,1939350
368,Gary Payton II,1939350,Minimum Salary,350000
369,Timothé Luwawu-Cabarrot,1939350,,
370,PJ Dozier,1910860,,1910860
371,Damion Lee,1910860,,
372,Larry Sanders,1865547,,1865547
373,Shake Milton,1846738,Cap Space,1846738
374,Mitchell Robinson,1802057,MLE,1802057
375,Jalen Brunson,1802057,,
376,Malik Monk,1789256,Minimum Salary,1789256
377,Semi Ojeleye,1789256,Minimum Salary,1789256
378,Frank Ntilikina,1789256,Minimum Salary,1789256
379,Tony Bradley,1789256,Minimum Salary,1789256
380,Dennis Smith Jr.,1789256,,
381,Didi Louzada,1786878,Non Bird,3663100
382,Daniel Gafford,1782621,Minimum Salary,43895782
383,Terance Mann,1782621,Minimum Salary,25713302
